"","Site","month","mean.cover","var.cover","mean.bare","var.bare","mean.height","var.height"
"1","Aven","Aug",61,1270.10169491525,36.6333333333333,1267.35480225989,17.4666666666667,156.998870056497
"2","Aven","July",42.2333333333333,1807.16497175141,49.9666666666667,1836.13446327684,26.5,1102.08474576271
"3","Aven","Sept",80.9166666666667,768.620056497175,14.6333333333333,438.473446327684,20.1333333333333,94.4225988700565
"4","CaS","Aug",53.9,732.227118644068,39.2333333333333,732.622598870057,13.9824561403509,434.267543859649
"5","CaS","July",44.85,992.095762711864,52.3333333333333,967.005649717514,9.63333333333333,43.5581920903955
"6","CaS","Sept",48.9,725.922033898305,33.1,624.803389830508,17.5862068965517,97.9661222020569
"7","CaSl","Aug",54.5,613.474576271186,42.95,626.760169491525,9.66666666666667,91.6158192090395
"8","CaSl","July",60.4333333333333,780.419209039548,38.0833333333333,799.501412429379,9.71666666666667,32.1387005649717
"9","CaSl","Sept",23.7333333333333,338.43615819209,43.5333333333333,423.778531073446,16.3220338983051,97.4289888953828
"10","Coal","Aug",44.3833333333333,1552.00310734463,47.05,1577.7093220339,18.0740740740741,496.900069881202
"11","Coal","July",70.0666666666667,1172.16497175141,27.2333333333333,1138.58870056497,13.3,32.1796610169492
"12","Coal","Sept",75.6333333333333,916.609039548023,19.4166666666667,856.992937853107,17.0508474576271,82.3594389246055
"13","Lok","Aug",73.4166666666667,679.501412429379,24.2,642.671186440678,21.4166666666667,102.281073446328
"14","Lok","July",35.35,1096.16355932203,61.2,1061.85762711864,19.9166666666667,268.789548022599
"15","Lok","Sept",67.9,647.583050847458,26.5666666666667,548.622598870057,17.6666666666667,39.1412429378531
"16","Mov","Aug",58.0666666666667,291.893785310734,41.7333333333333,293.046327683616,10.5,19.271186440678
"17","Mov","July",79.8333333333333,352.954802259887,17.9166666666667,359.637005649718,7.46666666666667,12.5920903954802
"18","Mov","Sept",58.9833333333333,650.491242937853,38.55,643.43813559322,8.98333333333333,20.3895480225989
"19","PaPl","Aug",92.6,167.871186440678,5.88333333333333,157.969209039548,20.0666666666667,50.7073446327684
"20","PaPl","July",79.1666666666667,508.209039548023,20.1166666666667,505.087853107345,15.2,55.3830508474576
"21","PaPl","Sept",56.8833333333333,582.681073446328,41.4666666666667,536.01581920904,17.6333333333333,77.8971751412429
"22","SemiT","Aug",36.6333333333333,1457.9988700565,61.35,1516.19745762712,10.05,168.997457627119
"23","SemiT","July",35.45,1714.5906779661,64.1833333333333,1736.79632768362,11.7666666666667,236.14802259887
"24","SemiT","Sept",50.75,1578.49576271186,47.7166666666667,1640.37598870056,20.5106382978723,282.603145235893
"25","SiCr","Aug",72.6666666666667,1070.1581920904,26.6833333333333,1075.13531073446,9.20338983050847,33.4406779661017
"26","SiCr","July",57.6,1277.39661016949,41.1333333333333,1226.89717514124,15.65,254.909322033898
"27","SiCr","Sept",60.0333333333333,1217.65988700565,38.9666666666667,1156.74463276836,13.5833333333333,98.2471751412429
