Category,ID,Latitude,Longitude,Date,PST,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,ECO4ESIPTJPL_001_Evaporative_Stress_Index_PT_JPL_ESIavg,ECO4ESIPTJPL_001_Evaporative_Stress_Index_PT_JPL_PET
Aug,Aven,36.088,-120.19,2020-08-04 20:29:50 UTC,12:30 PM,11799,1,601,TRUE,0.0390541,552.8355103
Aug,Aven,36.088,-120.19,2020-08-08 18:56:24 UTC,10:56,11860,2,601,TRUE,0.1365365,553.7459717
Aug,Aven,36.088,-120.19,2020-08-11 01:29:01 UTC,5:00 PM,11895,11,601,TRUE,0.0349657,229.0876465
Aug,Aven,36.088,-120.19,2020-08-12 17:22:51 UTC,9:22 AM,11921,3,601,TRUE,0.3119587,415.9655151
Aug,Aven,36.088,-120.19,2020-08-14 23:55:25 UTC,3:55 PM,11956,8,601,TRUE,0.0281492,408.0353088
Aug,CaS,35.12,-119.628,2020-08-04 20:29:50 UTC,12:30 PM,11799,1,601,TRUE,0.0305168,489.7828064
Aug,CaS,35.12,-119.628,2020-08-08 18:56:24 UTC,10:56,11860,2,601,TRUE,0.0714575,474.1722412
Aug,CaS,35.12,-119.628,2020-08-11 01:29:01 UTC,5:00 PM,11895,11,601,TRUE,0.0266136,190.1159821
Aug,CaS,35.12,-119.628,2020-08-12 17:22:51 UTC,9:22 AM,11921,3,601,TRUE,0.1386109,364.6543274
Aug,CaS,35.12,-119.628,2020-08-14 23:55:25 UTC,3:55 PM,11956,8,601,TRUE,0.0193159,362.9775391
Aug,CaSl,35.089,-119.576,2020-08-04 20:29:50 UTC,12:30 PM,11799,1,601,TRUE,0.0382221,486.6731567
Aug,CaSl,35.089,-119.576,2020-08-08 18:56:24 UTC,10:56,11860,2,601,TRUE,0.0659021,475.028656
Aug,CaSl,35.089,-119.576,2020-08-11 01:29:01 UTC,5:00 PM,11895,11,601,TRUE,0.0347415,186.5119476
Aug,CaSl,35.089,-119.576,2020-08-12 17:22:51 UTC,9:22 AM,11921,3,601,TRUE,0.1460305,363.2489624
Aug,CaSl,35.089,-119.576,2020-08-14 23:55:25 UTC,3:55 PM,11956,8,601,TRUE,0.0241799,362.9068604
Aug,Coal,36.212,-120.304,2020-08-04 20:29:50 UTC,12:30 PM,11799,1,601,TRUE,0.0213645,558.699585
Aug,Coal,36.212,-120.304,2020-08-08 18:56:24 UTC,10:56,11860,2,601,TRUE,0.0917418,574.1240845
Aug,Coal,36.212,-120.304,2020-08-11 01:29:01 UTC,5:00 PM,11895,11,601,TRUE,0.0163741,237.8932343
Aug,Coal,36.212,-120.304,2020-08-12 17:22:51 UTC,9:22 AM,11921,3,601,TRUE,0.1761267,417.4710388
Aug,Coal,36.212,-120.304,2020-08-14 23:55:25 UTC,3:55 PM,11956,8,601,TRUE,0.0144841,417.5402832
Aug,Lok,35.354,-119.584,2020-08-04 20:29:50 UTC,12:30 PM,11799,1,601,TRUE,0.0634075,496.8977051
Aug,Lok,35.354,-119.584,2020-08-08 18:56:24 UTC,10:56,11860,2,601,TRUE,0.1936206,507.2125549
Aug,Lok,35.354,-119.584,2020-08-11 01:29:01 UTC,5:00 PM,11895,11,601,TRUE,0.0465899,185.181488
Aug,Lok,35.354,-119.584,2020-08-12 17:22:51 UTC,9:22 AM,11921,3,601,TRUE,0.3291247,367.9934692
Aug,Lok,35.354,-119.584,2020-08-14 23:55:25 UTC,3:55 PM,11956,8,601,TRUE,0.0311322,356.9150391
Aug,Mov,36.562,-120.545,2020-08-04 20:29:50 UTC,12:30 PM,11799,1,601,TRUE,0.0479126,532.5548706
Aug,Mov,36.562,-120.545,2020-08-08 18:56:24 UTC,10:56,11860,2,601,TRUE,0.1142926,537.3602905
Aug,Mov,36.562,-120.545,2020-08-11 01:29:01 UTC,5:00 PM,11895,11,601,TRUE,0.0401051,225.3336945
Aug,Mov,36.562,-120.545,2020-08-11 18:10:30 UTC,10:00 AM,11906,3,601,TRUE,0.2316152,468.3362122
Aug,Mov,36.562,-120.545,2020-08-12 17:22:51 UTC,9:22 AM,11921,3,601,TRUE,0.2551397,399.2835083
Aug,Mov,36.562,-120.545,2020-08-14 23:55:25 UTC,3:55 PM,11956,8,601,TRUE,0.0332941,387.6029358
Aug,PaPl,36.696,-120.795,2020-08-03 21:17:24 UTC,1:00 PM,11784,1,601,TRUE,0.0056063,564.9484253
Aug,PaPl,36.696,-120.795,2020-08-04 20:29:50 UTC,12:29 PM,11799,1,601,TRUE,0.0109933,560.3659058
Aug,PaPl,36.696,-120.795,2020-08-07 19:44:02 UTC,11:44 AM,11845,3,601,TRUE,0.028286,610.2687378
Aug,PaPl,36.696,-120.795,2020-08-08 18:56:24 UTC,10:56 AM,11860,2,601,TRUE,0.0293801,576.2052002
Aug,PaPl,36.696,-120.795,2020-08-11 01:29:01 UTC,5:29 PM,11895,11,601,TRUE,0.0075919,248.996048
Aug,PaPl,36.696,-120.795,2020-08-11 18:10:30 UTC,10:10 AM,11906,3,601,TRUE,0.1321098,473.3702087
Aug,PaPl,36.696,-120.795,2020-08-12 17:22:51 UTC,9:22 AM,11921,3,601,TRUE,0.0767726,431.8113708
Aug,PaPl,36.696,-120.795,2020-08-14 23:55:25 UTC,3:55 PM,11956,8,601,TRUE,0.0086431,429.84552
Aug,PaPl,36.696,-120.795,2020-08-15 16:36:54 UTC,8:36 AM,11967,1,601,TRUE,0.2106457,266.7367554
Aug,SemiT,35.658,-119.612,2020-08-04 20:29:50 UTC,12:29 PM,11799,1,601,TRUE,0.0649974,508.9139709
Aug,SemiT,35.658,-119.612,2020-08-08 18:56:24 UTC,10:56 AM,11860,2,601,TRUE,0.1190813,553.413269
Aug,SemiT,35.658,-119.612,2020-08-11 01:29:01 UTC,5:29 PM,11895,11,601,TRUE,0.0352187,201.5435333
Aug,SemiT,35.658,-119.612,2020-08-12 17:22:51 UTC,11:22 AM,11921,3,601,TRUE,0.2832403,392.9795837
Aug,SemiT,35.658,-119.612,2020-08-14 23:55:25 UTC,,11956,8,601,TRUE,0.0239505,387.5741577
Aug,SiCr,36.586,-120.686,2020-08-03 21:17:24 UTC,,11784,1,601,TRUE,0.0132418,559.9091187
Aug,SiCr,36.586,-120.686,2020-08-04 20:29:50 UTC,,11799,1,601,TRUE,0.0236025,551.6671753
Aug,SiCr,36.586,-120.686,2020-08-07 19:44:02 UTC,,11845,3,601,TRUE,0.0395598,592.6072388
Aug,SiCr,36.586,-120.686,2020-08-08 18:56:24 UTC,,11860,2,601,TRUE,0.0620653,557.2685547
Aug,SiCr,36.586,-120.686,2020-08-11 01:29:01 UTC,5:29 PM,11895,11,601,TRUE,0.0138894,229.3822174
Aug,SiCr,36.586,-120.686,2020-08-11 18:10:30 UTC,10:10 AM,11906,3,601,TRUE,0.1124599,499.3253784
Aug,SiCr,36.586,-120.686,2020-08-12 17:22:51 UTC,9:22 AM,11921,3,601,TRUE,0.1571802,420.1286011
Aug,SiCr,36.586,-120.686,2020-08-14 23:55:25 UTC,3:55 PM,11956,8,601,TRUE,0.0126109,414.3578491
Aug,SiCr,36.586,-120.686,2020-08-15 16:36:54 UTC,8:36 AM,11967,1,601,TRUE,0.2954226,406.8368835
