Category,ID,Latitude,Longitude,Date,,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,ECO4ESIPTJPL_001_Evaporative_Stress_Index_PT_JPL_ESIavg,ECO4ESIPTJPL_001_Evaporative_Stress_Index_PT_JPL_PET
Sept,Aven,36.0878,-120.1912,2020-09-07 14:33:14 UTC,6:33 AM,12322,8,601,TRUE,0.9718078,98.7048798
Sept,Aven,36.0878,-120.1912,2020-09-21 01:48:18 UTC,5:48 PM,12531,3,601,TRUE,0.1318175,124.4826736
Sept,Aven,36.0878,-120.1912,2020-09-25 00:15:30 UTC,4:15 PM,12592,1,601,TRUE,0.0859425,256.7227783
Sept,CaS,35.116,-119.624,2020-09-07 14:34:06 UTC,6:34 AM,12322,9,601,TRUE,0.7728348,116.3049088
Sept,CaS,35.116,-119.624,2020-09-21 01:48:18 UTC,5:48 PM,12531,3,601,TRUE,0.0563653,121.5098343
Sept,CaS,35.116,-119.624,2020-09-25 00:15:30 UTC,4:15 PM,12592,1,601,TRUE,0.0521152,236.9989014
Sept,CaSl,35.065,-119.539,2020-09-07 14:34:06 UTC,6:34 AM,12322,9,601,TRUE,0.8281692,123.4419403
Sept,CaSl,35.065,-119.539,2020-09-21 01:48:18 UTC,5:48 PM,12531,3,601,TRUE,0.0555608,124.8439407
Sept,CaSl,35.065,-119.539,2020-09-25 00:15:30 UTC,4:15 PM,12592,1,601,TRUE,0.0526639,237.6878662
Sept,Coal,36.213,-120.303,2020-09-07 14:33:14 UTC,6:34 AM,12322,8,601,TRUE,0.8622223,107.0022659
Sept,Coal,36.213,-120.303,2020-09-21 01:48:18 UTC,5:48 PM,12531,3,601,TRUE,0.0716119,130.3840027
Sept,Coal,36.213,-120.303,2020-09-25 00:15:30 UTC,4:15 PM,12592,1,601,TRUE,0.0447151,272.9435425
Sept,Lok,35.355,-119.588,2020-09-07 14:34:06 UTC,6:34 AM,12322,9,601,TRUE,0.9786156,107.6088409
Sept,Lok,35.355,-119.588,2020-09-21 01:48:18 UTC,5:48 PM,12531,3,601,TRUE,0.1273059,113.0226593
Sept,Lok,35.355,-119.588,2020-09-25 00:15:30 UTC,4:15 PM,12592,1,601,TRUE,0.0927102,223.5653534
Sept,Mov,36.561,-120.548,2020-09-07 14:33:14 UTC,6:34 AM,12322,8,601,TRUE,0.951219,86.6890488
Sept,Mov,36.561,-120.548,2020-09-21 01:48:18 UTC,5:48 PM,12531,3,601,TRUE,0.1085923,130.2332306
Sept,Mov,36.561,-120.548,2020-09-25 00:15:30 UTC,4:15 PM,12592,1,601,TRUE,0.1075922,257.4552612
Sept,PaPl,36.7,-120.801,2020-09-07 14:33:14 UTC,6:34 AM,12322,8,601,TRUE,0.8264226,110.5145645
Sept,PaPl,36.7,-120.801,2020-09-21 01:48:18 UTC,5:48 PM,12531,3,601,TRUE,0.0332567,142.2382812
Sept,PaPl,36.7,-120.801,2020-09-24 01:02:43 UTC,5:02 PM,12577,3,601,TRUE,0.0277256,210.3363342
Sept,PaPl,36.7,-120.801,2020-09-25 00:15:30 UTC,4:15 PM,12592,1,601,TRUE,0.0215336,274.2972717
Sept,SemiT,35.658,-119.61,2020-09-07 14:33:14 UTC,,12322,8,601,TRUE,0.9741576,96.8542938
Sept,SemiT,35.658,-119.61,2020-09-21 01:48:18 UTC,,12531,3,601,TRUE,0.1485605,130.8518219
Sept,SemiT,35.658,-119.61,2020-09-25 00:15:30 UTC,,12592,1,601,TRUE,0.1197156,246.280899
Sept,SiCr,36.586,-120.688,2020-09-07 14:33:14 UTC,,12322,8,601,TRUE,0.8838425,102.0012817
Sept,SiCr,36.586,-120.688,2020-09-21 01:48:18 UTC,,12531,3,601,TRUE,0.0534626,138.7354279
Sept,SiCr,36.586,-120.688,2020-09-24 01:02:43 UTC,,12577,3,601,TRUE,0.0549173,201.489624
Sept,SiCr,36.586,-120.688,2020-09-25 00:15:30 UTC,,12592,1,601,TRUE,0.0444422,268.8147583
